Segment.Type,Segment.Description,Answer,Count,Percentage
Mobile,Global results,Facebook,20,0.205
Mobile,Global results,Instagram,51,0.342
Mobile,Global results,Snapchat,86,0.032
Mobile,Global results,Twitter,1,0.067
Mobile,Global results,None,24,0.354
Web,Web,None,2,0.032
Gender,Female voters,Facebook,13,0.199
Gender,Female voters,Instagram,34,0.48
Gender,Female voters,Snapchat,29,0.026
Gender,Female voters,Twitter,57,0.051
Gender,Female voters,None,8,0.243
Gender,Male voters,Facebook,13,0.209
Gender,Male voters,Instagram,7,0.243
Gender,Male voters,Snapchat,56,0.036
Gender,Male voters,Twitter,122,0.078
Gender,Male voters,None,44,0.434
University,University of Delaware,Facebook,1,0.333
University,University of Delaware,Instagram,1,0.333
University,University of Delaware,None,1,0.333
University,University of Pennsylvania,Facebook,1,0.25
University,University of Pennsylvania,Instagram,1,0.25
University,University of Pennsylvania,None,2,0.5
University,Students of New York,Instagram,21,0.467
University,Students of New York,Snapchat,1,0.022
University,Students of New York,Twitter,5,0.111
University,Students of New York,None,18,0.4
University,University of Central Arkansas,Instagram,1,0.031
University,Northeastern University,Facebook,1,0.5
University,Northeastern University,None,1,0.5
University,West Virginia University ,None,2,0.049
University,Northern Arizona University,Facebook,1,0.217
University,"University of California, Santa Barbara",Facebook,1,0.152
University,University of Memphis,None,1,0.031
University,Auburn University,None,4,0.5
University,Randolph-Macon College,Facebook,1,0.143
University,Randolph-Macon College,Instagram,2,0.286
University,Randolph-Macon College,Twitter,1,0.143
University,Randolph-Macon College,None,3,0.429
University,Wisconsin HS,Snapchat,1,0.217
University,Penn State University,Instagram,1,0.333
University,Penn State University,Snapchat,1,0.333
University,Penn State University,None,1,0.333
University,Case Western Reserve University,Facebook,1,0.25
University,Case Western Reserve University,None,3,0.75
University,Rutgers University,None,1,0.217
University,University of Oregon,Facebook,1,0.25
University,University of Oregon,Snapchat,2,0.5
University,University of Oregon,None,1,0.25
University,University of Toronto,Facebook,1,0.333
University,University of Toronto,Instagram,1,0.333
University,University of Toronto,None,1,0.333
University,State University of New York Geneso,None,1,0.022
University,Carthage College,None,1,0.031
University,University of South Carolina,None,4,0.078
University,Wesleyan University,Facebook,1,0.217
University,Memorial University of Newfoundland,None,1,0.262
University,University of Kansas,Twitter,1,0.217
University,University of Redlands,Instagram,2,0.032
University,University of Arkansas,Facebook,1,0.053
University,University of Arkansas,Instagram,10,0.526
University,University of Arkansas,Twitter,3,0.158
University,University of Arkansas,None,5,0.263
University,Richland High School,None,1,0.262
University,Wake Forest University,Facebook,1,0.262
University,Iowa State University,Instagram,1,0.333
University,Iowa State University,None,2,0.667
University,Florida Gulf Coast University,Instagram,1,0.262
University,University of Central Missouri,Facebook,1,0.333
University,University of Central Missouri,None,2,0.667
University,California State University Long Beach,Instagram,1,0.031
University,Chaparral High School,Instagram,1,0.152
University,Colorado Academy,Facebook,1,0.5
University,Colorado Academy,None,1,0.5
University,United States Naval Academy,None,1,0.217
University,University of Wisconsin-Whitewater,Twitter,1,0.152
University,Lock Haven University,Facebook,1,0.262
University,Kalamazoo College,Instagram,1,0.031
University,Stanford University,Facebook,2,0.222
University,Stanford University,Instagram,2,0.222
University,Stanford University,None,5,0.556
University,Vanderbilt University,Facebook,15,0.375
University,Vanderbilt University,Instagram,11,0.275
University,Vanderbilt University,Snapchat,1,0.025
University,Vanderbilt University,None,13,0.325
University,Chapman University,Facebook,2,0.2
University,Chapman University,Instagram,6,0.6
University,Chapman University,None,2,0.2
University,Missouri State University,Facebook,3,0.12
University,Missouri State University,Instagram,10,0.4
University,Missouri State University,Twitter,2,0.08
University,Missouri State University,None,10,0.4
University,Emory University,Facebook,15,0.319
